Borough,Major Category,Minor Category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Croydon,Criminal Damage,Other Criminal Damage,792,798,748,733,665,620,676,842,848,892,836
Croydon,Drugs,Drug Trafficking,122,130,147,149,224,134,167,117,99,125,95
Croydon,Drugs,Other Drugs,10,9,8,12,19,21,10,8,7,11,13
Croydon,Drugs,Possession Of Drugs,2834,2527,2209,2209,2181,1991,1737,1477,1284,1566,1553
Croydon,Fraud or Forgery,Counted per Victim,1479,1439,1503,989,709,55,0,0,0,0,0
Croydon,Fraud or Forgery,Other Fraud & Forgery,358,379,347,429,521,68,30,39,41,49,31
Croydon,Other Notifiable Offences,Going Equipped,19,11,16,21,20,19,16,18,21,15,10
Croydon,Other Notifiable Offences,Other Notifiable,384,425,431,420,478,393,509,616,756,672,683
Croydon,Robbery,Business Property,214,214,197,195,170,132,103,94,80,86,92
Croydon,Robbery,Personal Property,1235,1389,1407,1632,1823,1599,896,648,1082,1103,1009
Croydon,Sexual Offences,Other Sexual,248,268,316,289,289,307,353,429,492,495,521
Croydon,Sexual Offences,Rape,150,168,160,200,196,210,299,303,336,396,444
Croydon,Theft and Handling,Handling Stolen Goods,75,65,61,128,49,74,51,47,50,68,50
Croydon,Theft and Handling,Motor Vehicle Interference & Tampering,201,212,186,145,228,182,235,372,388,0,0
Croydon,Theft and Handling,Other Theft,3333,3132,3669,3959,4909,4013,3912,3642,3342,3246,3546
Croydon,Theft and Handling,Other Theft Person,630,727,683,814,846,881,525,509,613,494,554
Croydon,Theft and Handling,Theft From Motor Vehicle,2788,3051,3001,2717,2933,2711,2139,2005,1848,2055,2526
Croydon,Theft and Handling,Theft From Shops,1517,1631,1719,1695,1694,1486,1999,1941,1865,1651,1399
Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,1278,1223,1170,1084,973,734,785,907,1096,1082,1143
Croydon,Theft and Handling,Theft/Taking of Pedal Cycle,234,416,324,419,300,342,237,229,273,333,252
Croydon,Violence Against the Person,Assault with Injury,2758,2781,2448,2419,2361,1969,2243,2348,2496,2369,2349
Croydon,Violence Against the Person,Common Assault,1814,1848,1852,1872,1718,1573,2274,2860,2926,2996,3005
Croydon,Violence Against the Person,Grievous Bodily Harm,152,318,193,0,0,0,0,0,0,0,0
Croydon,Violence Against the Person,Harassment,1482,1572,1493,1584,1722,1537,2329,3164,3375,3436,3664
Croydon,Violence Against the Person,Murder,5,6,6,6,6,4,4,0,9,8,2
Croydon,Violence Against the Person,Offensive Weapon,311,235,237,204,190,170,195,193,233,385,345
Croydon,Violence Against the Person,Other violence,273,353,261,293,323,322,350,418,465,488,564
Croydon,Violence Against the Person,Wounding/GBH,189,0,121,323,353,707,949,1062,1011,1138,1063
Ealing,Burglary,Burglary in a Dwelling,2861,2918,2658,2776,2864,2442,2078,1920,1637,1907,2015
Ealing,Burglary,Burglary in Other Buildings,1088,1035,1113,1091,1100,1142,835,709,848,1132,1004
Ealing,Criminal Damage,Criminal Damage To Dwelling,820,855,752,732,606,507,502,490,545,439,456
Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,1766,1670,1771,1432,1227,1090,1027,1141,1084,1010,924
Ealing,Criminal Damage,Criminal Damage To Other Building,289,304,289,318,231,202,285,259,258,240,169
